year	aysm	contig	ally	sq	dema	demb	disp	py
1948	0.974605	0	0	0.0600168	10	-9	0	2
1948	0.965129	1	0	0.0880189	-9	10	0	2
1948	0.315948	1	1	0.664854	-10	-4	0	2
1948	0.92878	0	0	0.384123	-9	1	0	2
1948	0.99484	0	0	-0.149476	10	-9	0	2
1948	0.201116	1	0	-0.088747	10	7	0	2
1948	0.984518	0	0	0.159833	10	10	0	2
1948	0.997676	0	0	-0.915249	-9	-3	0	2
1948	0.984854	0	0	0.159975	10	10	0	2
1948	0.991149	0	0	-0.31943	10	-4	0	2
1948	0.99608	0	0	-0.915249	-9	-8	0	2
1948	0.828333	0	0	0.289264	10	2	0	2
1948	0.947224	0	0	0.293968	10	10	0	2
1948	0.513373	1	0	0.777983	-9	10	0	2
1948	0.7183	1	0	0.616531	10	-3	0	2
1948	0.835886	0	0	0.420445	10	10	0	2
1948	0.963906	1	0	0.56171	-5	-10	0	2
1948	0.944003	0	0	-0.923384	5	10	0	2
1948	0.557251	1	1	1	5	-1	0	2
